period_year,period_month,bill_date,distributor_code,stockist_code,stockist_name,hq_code,hq_name,mr_emp_id,mr_name,raw_product_code,raw_product_name,brand,canonical_product_code,quantity,amount
2025,10,2025-10-31,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0044,,SERVIL LS- BABY DROPS,I0044,100.0,5015.0
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0263,,I0263,I0263,20.0,964.2
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0263,,I0263,I0263,30.0,1446.3
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0037,,SERVIL JUNIOR,I0037,305.0,19215.0
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0037,,SERVIL JUNIOR,I0037,255.0,16065.0
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0071,,SERVIL-D,I0071,80.0,6503.2
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0009,,ARDEN 500,I0009,225.0,2187.0
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0009,,ARDEN 500,I0009,25.0,240.25
2025,6,2025-06-30,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA73,,I0023,,LORAMYL,I0023,39.0,642.95
2025,6,2025-06-30,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA72,,I0023,,LORAMYL,I0023,39.0,642.95
2025,6,2025-06-30,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA73,,I0274,,MV 30 TAB,I0274,9.0,543.69
2025,6,2025-06-30,11.0,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,ADLA72,,I0274,,MV 30 TAB,I0274,9.0,543.69
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0010,,ARDEN 650,I0010,169.0,3650.4
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0003,,ARDEN 250,I0003,110.0,2577.3
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0005,,ARDEN 325,I0005,330.0,8698.8
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0010,,ARDEN 650,I0010,331.0,7186.01
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0037,,SERVIL JUNIOR,I0037,200.0,12600.0
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0037,,SERVIL JUNIOR,I0037,360.0,22680.0
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0018,,SERVIL-LS JUNIOR,I0018,240.0,15120.0
2025,6,2025-06-30,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0005,,ARDEN 325,I0005,88.0,2319.68
2025,6,2025-06-30,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0018,,SERVIL-LS JUNIOR,I0018,80.0,4988.8
2025,6,2025-06-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0006,,ARDEN JUNIOR,I0006,110.0,1970.1
2025,6,2025-06-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0167,,ARDEN SPAS,I0167,50.0,1555.5
2025,6,2025-06-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0044,,SERVIL LS- BABY DROPS,I0044,40.0,1842.8
2025,7,2025-07-08,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0005,,ARDEN 325,I0005,36.0,948.96
2025,7,2025-07-08,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0005,,ARDEN 325,I0005,52.0,1370.72
2025,7,2025-07-18,11.0,C0709,NISHA DRUGS AGENCY,S0182,SAMASTIPUR,ADLA86,,I0037,,SERVIL JUNIOR,I0037,480.0,30240.0
2025,7,2025-07-18,11.0,C0709,NISHA DRUGS AGENCY,S0182,SAMASTIPUR,ADLA86,,I0021,,CONIDERM-F,I0021,150.0,14079.0
2025,7,2025-07-18,11.0,C0943,BHAVESH MEDICAL AGENCY,S0288,GAYA,ADLA77,,I0274,,MV 30 TAB,I0274,27.0,1631.07
2025,7,2025-07-18,11.0,C0943,BHAVESH MEDICAL AGENCY,S0288,GAYA,ADLA77,,I0010,,ARDEN 650,I0010,42.0,911.82
